Team,Player Name,Matches,Batting Avg.,Batting SR,Wickets,Bowling Avg.,Bowling ER,section
PBKS,KL. Rahul,88,46.53,135.85,,,,Marquee
SRH,D. Warner (F),148,42.22,140.13,,,,Marquee
SRH,K. Williamson (F),56,42.12,134.81,,,,Marquee
SRH,J. Bairstow (F),27,42,142.17,,,,Marquee
SRH,R. Khan (F),68,8.21,150,84,20.05,6.24,Marquee
RR,J. Archer (F),35,15,157.25,46,21.32,7.13,Marquee
RCB,AB de Villiers (F),176,40.77,152.38,,,,Batsmen 1
PBKS,C. Gayle (F),139,40.46,149.47,18,40.5,7.89,Batsmen 1
CSK,MS Dhoni,211,40.25,136.64,,,,Batsmen 1
RCB,V. Kohli,199,37.97,130.41,,,,Batsmen 1
DC,R. Pant,75,35.59,149.96,,,,Batsmen 1
DC,K. Rabada (F),41,13.4,101.51,66,19.63,8.3,Bowlers 1
SRH,B. Kumar,125,7.15,93.93,139,24.38,7.29,Bowlers 1
MI,J. Bumrah,99,11,93.61,115,24.14,7.39,Bowlers 1
RCB,Y. Chahal,106,5,41.66,125,23.3,7.7,Bowlers 1
MI,N. Coulter-Nile (F),34,7.7,118.46,41,23.41,7.75,Bowlers 1
RR,A. Tye (F),27,10.11,119.73,40,21.8,8.46,Bowlers 1
CSK,I. Tahir (F),59,8.25,89.18,82,20.76,7.76,Bowlers 1
MI,K. Pollard (F),171,30.68,149.15,63,31.96,8.83,All-Rounders 1
KKR,A. Russell (F),81,29.47,179.29,68,26.86,9.08,All-Rounders 1
CSK,D. Bravo (F),144,22.87,129.05,156,24.88,8.38,All-Rounders 1
CSK,R. Jadeja,190,26.62,128.07,120,30.25,7.62,All-Rounders 1
RR,C. Morris (F),76,23.96,157.63,91,23.23,7.89,All-Rounders 1
MI,H. Pandya,87,27.47,157.23,42,31.26,9.06,All-Rounders 1
CSK,S. Curran (F),30,23.78,150.67,32,27.62,8.84,All-Rounders 1
KKR,S. Al Hasan (F),66,20.63,124.84,61,28.4,7.49,All-Rounders 1
PBKS,M. Henriques (F),60,27.36,126.93,39,32.51,8.26,All-Rounders 1
MI,K. Pandya,78,23.91,141.38,49,33.38,7.28,All-Rounders 1
DC,S. Smith (F),100,34.97,128.62,,,,Batsmen 2
CSK,F. du Plessis (F),91,34.96,131.03,,,,Batsmen 2
DC,S. Dhawan,183,34.86,127.14,,,,Batsmen 2
MI,C. Lynn (F),42,34.07,140.63,,,,Batsmen 2
RR,D. Miller (F),85,33.53,137.94,,,,Batsmen 2
RR,J. Buttler (F),64,33.52,147.75,,,,Batsmen 2
CSK,S. Raina,200,33.07,136.89,25,44.72,7.38,Batsmen 2
MI,Q. de Kock (F),71,31.55,132.2,,,,Batsmen 2
DC,A. Rahane,151,31.52,121.33,,,,Batsmen 2
MI,R. Sharma,207,31.49,130.5,15,29.93,7.97,Batsmen 2
DC,S. Iyer,79,31.42,126.07,,,,Batsmen 2
KKR,S. Gill,48,30.6,124.24,,,,Batsmen 2
SRH,M. Pandey,150,30.35,121.54,,,,Batsmen 2
CSK,L. Ngidi (F),14,0,0,25,17.92,8.29,Bowlers 2
RCB,A. Zampa (F),14,2.5,62.5,21,17.61,7.73,Bowlers 2
SRH,K. Ahmed,21,0.33,20,31,22.25,8.67,Bowlers 2
SRH,S. Sharma,94,8.8,77.19,109,24.81,7.74,Bowlers 2
KKR,S. Narine (F),124,15.82,161.64,130,25.06,6.78,Bowlers 2
DC,A. Mishra,154,11.67,93.05,166,23.97,7.35,Bowlers 2
MI,R. Chahar,38,6.2,103.33,41,24.41,7.41,Bowlers 2
CSK,D. Chahar,54,11.14,139.28,53,27.62,7.67,Bowlers 2
MI,T. Boult (F),55,4.33,81.25,71,25.35,8.52,Bowlers 2
KKR,H.Singh,163,15.71,137.91,150,26.86,7.07,Bowlers 2
DC,R. Ashwin,159,10.74,111.14,149,27.68,6.9,Bowlers 2
RCB,H. Patel,55,10.86,139.31,63,25.49,8.8,Bowlers 2
DC,C. Woakes (F),21,13,101.29,30,21.93,8.97,All-Rounders 2
RR,B. Stokes (F),43,25.55,134.5,28,34.78,8.55,All-Rounders 2
DC,M. Stoinis (F),53,28,137.84,30,31.83,9.56,All-Rounders 2
RR,R. Tewatia,40,26.58,133.33,25,33.2,7.45,All-Rounders 2
CSK,M. Ali (F),25,24.52,157.97,15,25.46,6.92,All-Rounders 2
RCB,G. Maxwell (F),89,23.35,153.32,19,42.31,8.64,All-Rounders 2
KKR,P. Cummins (F),37,19.75,140.44,38,30.13,8.23,All-Rounders 2
DC,A. Patel,100,18.26,127.69,85,29.96,7.3,All-Rounders 2
KKR,P. Negi,50,14.03,126.29,34,27.61,7.86,All-Rounders 2
RCB,D. Christian (F),43,16.03,117.53,34,31.67,7.94,All-Rounders 2
SRH,M. Nabi (F),15,16,145.45,13,27.23,6.65,All-Rounders 2
SRH,J. Holder (F),19,13.5,121.34,22,25.86,8.36,All-Rounders 2
RCB,W. Sundar,42,13.56,111.28,27,32.11,6.93,All-Rounders 2
RCB,K. Jamieson,7,19.66,143.9,9,24.55,9.2,All-Rounders 2
KKR,L. Ferguson (F),14,-,146.66,11,38.54,8.5,
KKR,B. Cutting (F),21,21.63,168.79,10,42.9,9.16,All-Rounders 2
DC,T. Curran (F),12,25.4,119.81,10,40.1,11.13,All-Rounders 2
CSK,R. Gaikwad,13,36.36,124.92,,,,Batsmen 3
RCB,D. Padikkal,21,33.4,131.75,,,,Batsmen 3
SRH,J. Roy (F),8,29.83,133.58,,,,Batsmen 3
MI,S. Yadav,107,29.68,135.28,,,,Batsmen 3
CSK,A. Rayudu,165,29.64,127.77,,,,Batsmen 3
RR,S. Samson,113,28.7,134.65,,,,Batsmen 3
KKR,N. Rana,67,28.24,133.82,,,,Batsmen 3
CSK,R. Uthappa,189,27.92,129.99,,,,Batsmen 3
MI,S. Tiwary,88,27.58,120.22,,,,Batsmen 3
MI,I. Kishan,56,27.31,131.96,,,,Batsmen 3
SRH,V. Shankar,46,27.07,126.61,,,,Batsmen 3
KKR,D.Karthik,203,26.13,129.88,,,,Batsmen 3
PBKS,Sarfaraz Khan,38,25.94,140,,,,Batsmen 3
KKR,R. Tripathi,52,25.54,134.9,,,,Batsmen 3
SRH,W. Saha,126,25.15,131.24,,,,Batsmen 3
KKR,E. Morgan (F),73,24.35,125.25,,,,Batsmen 3
DC,P. Shaw,45,24.33,145.22,,,,Batsmen 3
KKR,K. Nair,73,24.26,128.36,,,,Batsmen 3
DC,S. Hetmyer (F),22,24.5,145.95,,,,Batsmen 3
SRH,K. Jadhav,90,22.78,124.67,,,,Batsmen 3
